elite,caf,concacaf,afc,ofc,avg_margin,combo_time_s,pts_2002,margin_2002,time_2002,pts_2006,margin_2006,time_2006,pts_2010,margin_2010,time_2010,pts_2018,margin_2018,time_2018,pts_2022,margin_2022,time_2022
1.2,1.1,1.1,1.05,0.9,13.777303895659742,300.3,53,11.977272727272727,57.1,67,17.328125,61.3,60,16.604651162790695,59.2,59,14.0,62.2,53,8.976470588235294,60.6
1.1,1.0,1.05,1.05,0.9,13.777303895659742,393.0,53,11.977272727272728,73.1,67,17.328125,81.2,60,16.604651162790695,77.1,59,14.0,81.7,53,8.976470588235294,79.9
1.1,1.0,1.0,0.95,0.9,13.777303895659742,393.2,53,11.977272727272728,74.1,67,17.328125,79.9,60,16.604651162790695,77.6,59,14.0,82.0,53,8.976470588235294,79.7
1.1,1.0,1.0,1.0,0.95,13.777303895659742,391.4,53,11.977272727272728,73.4,66,16.328125,79.4,60,16.604651162790695,77.4,60,15.0,81.6,53,8.976470588235294,79.6
1.1,1.1,1.0,1.05,1.0,13.577303895659742,391.8,53,11.977272727272728,73.5,66,16.328125,80.4,60,16.604651162790695,76.5,59,14.0,82.0,53,8.976470588235294,79.4
1.1,1.0,1.05,1.0,0.9,13.577303895659742,390.0,53,11.977272727272728,73.7,67,17.328125,79.2,60,16.604651162790695,76.9,58,13.0,81.2,53,8.976470588235294,79.0
1.15,1.1,1.05,1.0,0.95,13.577303895659742,391.1,53,11.977272727272728,72.9,66,16.328125,80.5,60,16.604651162790695,77.5,59,14.0,80.5,53,8.976470588235294,79.7
1.2,1.05,1.05,1.05,1.0,13.577303895659742,412.6,53,11.977272727272728,78.5,66,16.328125,84.4,60,16.604651162790695,81.3,59,14.0,86.7,53,8.976470588235294,81.6
1.2,1.05,1.0,1.0,0.95,13.577303895659742,407.9,53,11.977272727272728,73.3,66,16.328125,81.9,60,16.604651162790695,79.2,59,14.0,88.4,53,8.976470588235294,85.0
1.2,1.0,1.0,1.05,0.95,13.577303895659742,398.9,51,9.977272727272728,74.5,67,17.328125,81.6,60,16.604651162790695,78.5,60,15.0,83.4,53,8.976470588235294,80.8
1.2,1.0,1.0,1.0,0.95,13.577303895659742,396.3,51,9.977272727272728,73.3,67,17.328125,81.0,60,16.604651162790695,79.1,60,15.0,82.1,53,8.976470588235294,80.8
1.2,1.0,1.05,1.0,0.95,13.577303895659742,395.2,51,9.977272727272728,74.6,66,16.328125,80.6,60,16.604651162790695,77.8,61,16.0,81.6,53,8.976470588235294,80.5
1.15,1.1,1.05,1.0,1.0,13.577303895659742,392.7,53,11.977272727272728,73.6,66,16.328125,80.3,60,16.604651162790695,77.5,59,14.0,81.6,53,8.976470588235294,79.7
1.15,1.05,1.1,1.05,1.0,13.577303895659742,392.1,53,11.977272727272728,72.8,67,17.328125,80.5,60,16.604651162790695,77.6,58,13.0,80.6,53,8.976470588235294,80.6
1.15,1.0,1.0,1.0,1.0,13.577303895659742,393.3,51,9.977272727272728,73.7,67,17.328125,79.9,60,16.604651162790695,77.7,60,15.0,81.9,53,8.976470588235294,80.0
1.15,1.0,1.05,1.05,1.0,13.577303895659742,397.1,53,11.977272727272728,75.9,66,16.328125,80.6,60,16.604651162790695,77.6,59,14.0,81.5,53,8.976470588235294,81.4
1.15,1.0,1.0,1.05,1.0,13.577303895659742,394.8,53,11.977272727272728,74.2,66,16.328125,79.8,60,16.604651162790695,78.9,59,14.0,81.3,53,8.976470588235294,80.6
1.15,1.0,1.0,1.0,0.9,13.577303895659742,393.1,51,9.977272727272728,74.7,66,16.328125,79.7,60,16.604651162790695,78.3,61,16.0,80.5,53,8.976470588235294,80.0
1.1,1.05,1.1,0.95,0.95,13.577303895659742,393.3,53,11.977272727272728,73.7,67,17.328125,81.1,60,16.604651162790695,77.4,58,13.0,81.6,53,8.976470588235294,79.6
1.1,1.05,1.1,1.0,0.9,13.577303895659742,392.3,53,11.977272727272728,73.3,67,17.328125,80.2,60,16.604651162790695,77.9,58,13.0,81.6,53,8.976470588235294,79.4
1.1,1.1,1.0,1.0,0.95,13.577303895659742,392.2,53,11.977272727272728,73.6,66,16.328125,79.9,60,16.604651162790695,78.1,59,14.0,80.8,53,8.976470588235294,79.8
1.1,1.05,1.0,1.0,1.0,13.577303895659742,393.6,53,11.977272727272728,74.4,66,16.328125,80.2,60,16.604651162790695,78.2,59,14.0,81.6,53,8.976470588235294,79.2
1.1,1.05,1.0,1.05,0.9,13.577303895659742,390.7,53,11.977272727272728,72.4,66,16.328125,80.1,60,16.604651162790695,77.9,59,14.0,80.8,53,8.976470588235294,79.4
1.1,1.05,1.0,1.05,1.0,13.577303895659742,393.3,53,11.977272727272728,73.4,66,16.328125,79.9,60,16.604651162790695,77.8,59,14.0,82.0,53,8.976470588235294,80.2
1.1,1.05,1.05,0.95,0.9,13.577303895659742,392.9,53,11.977272727272728,73.6,67,17.328125,80.9,60,16.604651162790695,77.6,58,13.0,81.2,53,8.976470588235294,79.5
1.1,1.0,1.0,1.05,0.95,13.577303895659742,392.2,53,11.977272727272728,73.6,66,16.328125,80.1,60,16.604651162790695,77.6,59,14.0,82.0,53,8.976470588235294,78.9
1.1,1.0,1.0,1.0,1.0,13.577303895659742,394.7,53,11.977272727272728,73.9,66,16.328125,80.6,60,16.604651162790695,79.3,59,14.0,81.9,53,8.976470588235294,79.0
1.1,1.0,1.0,1.05,0.9,13.577303895659742,393.7,53,11.977272727272728,73.4,66,16.328125,79.9,60,16.604651162790695,78.6,59,14.0,82.1,53,8.976470588235294,79.7
1.1,1.0,1.0,1.05,1.0,13.577303895659742,390.2,53,11.977272727272728,73.0,66,16.328125,79.3,60,16.604651162790695,77.2,59,14.0,82.0,53,8.976470588235294,78.6
1.1,1.05,1.0,0.95,0.95,13.577303895659742,394.2,53,11.977272727272728,72.9,66,16.328125,80.6,60,16.604651162790695,78.5,59,14.0,81.2,53,8.976470588235294,80.9
1.1,1.0,1.1,1.05,0.9,13.577303895659742,394.8,53,11.977272727272728,74.7,67,17.328125,80.4,60,16.604651162790695,77.9,58,13.0,81.2,53,8.976470588235294,80.6
1.1,1.0,1.05,1.05,0.95,13.577303895659742,396.5,53,11.977272727272728,73.6,67,17.328125,81.9,60,16.604651162790695,77.8,58,13.0,81.9,53,8.976470588235294,81.2
1.1,1.05,1.1,1.0,0.95,13.577303895659742,393.8,53,11.977272727272728,74.1,67,17.328125,80.4,60,16.604651162790695,78.0,58,13.0,81.6,53,8.976470588235294,79.7
1.1,1.05,1.05,1.0,1.0,13.577303895659742,393.4,53,11.977272727272728,73.6,67,17.328125,80.1,60,16.604651162790695,78.5,58,13.0,81.5,53,8.976470588235294,79.7
1.1,1.05,1.05,1.0,0.9,13.577303895659742,394.9,53,11.977272727272728,73.4,67,17.328125,80.5,60,16.604651162790695,78.1,58,13.0,82.1,53,8.976470588235294,80.7
1.1,1.1,1.0,0.95,0.95,13.577303895659742,395.0,53,11.977272727272728,74.3,66,16.328125,80.4,60,16.604651162790695,78.0,59,14.0,82.4,53,8.976470588235294,79.8
1.1,1.1,1.0,1.0,1.0,13.577303895659742,393.8,53,11.977272727272728,73.5,66,16.328125,80.1,60,16.604651162790695,77.2,59,14.0,82.6,53,8.976470588235294,80.4
1.15,1.1,1.05,1.05,0.95,13.577303895659742,393.0,53,11.977272727272728,73.3,66,16.328125,79.5,60,16.604651162790695,78.4,59,14.0,82.4,53,8.976470588235294,79.3
1.15,1.05,1.05,1.0,0.95,13.577303895659742,391.9,53,11.977272727272728,73.2,66,16.328125,79.9,60,16.604651162790695,78.3,59,14.0,81.5,53,8.976470588235294,79.1
1.15,1.1,1.0,1.05,0.9,13.577303895659742,393.0,53,11.977272727272728,74.3,66,16.328125,79.7,60,16.604651162790695,77.5,59,14.0,81.7,53,8.976470588235294,79.9
1.15,1.1,1.0,1.0,0.9,13.577303895659742,392.1,53,11.977272727272728,73.5,66,16.328125,79.4,60,16.604651162790695,78.1,59,14.0,81.2,53,8.976470588235294,79.9
1.15,1.05,1.05,1.05,0.9,13.577303895659742,391.8,53,11.977272727272728,73.5,66,16.328125,79.6,60,16.604651162790695,78.3,59,14.0,81.1,53,8.976470588235294,79.3
1.15,1.05,1.0,1.0,1.0,13.577303895659742,393.6,53,11.977272727272728,73.2,66,16.328125,80.4,60,16.604651162790695,78.8,59,14.0,81.5,53,8.976470588235294,79.7
1.15,1.05,1.0,1.05,0.95,13.577303895659742,395.3,53,11.977272727272728,74.4,66,16.328125,80.6,60,16.604651162790695,77.9,59,14.0,82.5,53,8.976470588235294,79.9
1.15,1.05,1.0,1.05,1.0,13.577303895659742,393.3,53,11.977272727272728,73.6,66,16.328125,80.6,60,16.604651162790695,77.3,59,14.0,82.4,53,8.976470588235294,79.6
1.15,1.05,1.05,1.0,0.9,13.577303895659742,389.1,53,11.977272727272728,73.8,67,17.328125,79.6,60,16.604651162790695,76.5,58,13.0,80.7,53,8.976470588235294,78.6
1.15,1.05,1.0,1.05,0.9,13.577303895659742,392.2,53,11.977272727272728,73.4,66,16.328125,80.3,60,16.604651162790695,78.0,59,14.0,82.0,53,8.976470588235294,78.6
1.1,1.1,1.1,0.95,1.0,13.577303895659742,395.4,53,11.977272727272728,72.9,67,17.328125,80.9,60,16.604651162790695,79.4,58,13.0,81.7,53,8.976470588235294,80.5
1.1,1.1,1.1,0.95,0.9,13.577303895659742,393.3,53,11.977272727272728,72.8,67,17.328125,79.7,60,16.604651162790695,79.3,58,13.0,82.0,53,8.976470588235294,79.4
1.1,1.1,1.1,1.0,0.9,13.577303895659742,394.9,53,11.977272727272728,74.0,67,17.328125,79.6,60,16.604651162790695,79.5,58,13.0,81.3,53,8.976470588235294,80.6
1.1,1.1,1.1,1.05,1.0,13.577303895659742,389.9,53,11.977272727272728,73.3,67,17.328125,79.8,60,16.604651162790695,77.8,58,13.0,80.5,53,8.976470588235294,78.4
1.1,1.1,1.05,0.95,1.0,13.577303895659742,392.8,53,11.977272727272728,74.1,66,16.328125,80.1,60,16.604651162790695,77.3,59,14.0,81.1,53,8.976470588235294,80.1
1.1,1.1,1.05,0.95,0.95,13.577303895659742,391.6,53,11.977272727272728,73.5,66,16.328125,80.1,60,16.604651162790695,77.8,59,14.0,81.4,53,8.976470588235294,78.7
1.1,1.1,1.05,1.0,0.9,13.577303895659742,390.6,53,11.977272727272728,72.2,66,16.328125,80.7,60,16.604651162790695,77.3,59,14.0,80.9,53,8.976470588235294,79.5
1.2,1.1,1.0,0.95,0.9,13.577303895659742,396.9,54,12.977272727272727,75.4,65,15.328125,80.3,60,16.604651162790695,77.6,59,14.0,83.0,53,8.976470588235294,80.5
1.15,1.1,1.0,1.05,0.95,13.577303895659742,393.7,53,11.977272727272728,73.6,66,16.328125,80.8,60,16.604651162790695,77.4,59,14.0,82.3,53,8.976470588235294,79.7
1.15,1.1,1.0,1.0,1.0,13.577303895659742,387.8,53,11.977272727272728,73.8,66,16.328125,78.7,60,16.604651162790695,76.5,59,14.0,80.5,53,8.976470588235294,78.2
1.15,1.1,1.0,0.95,0.95,13.577303895659742,393.1,53,11.977272727272728,73.6,66,16.328125,79.4,60,16.604651162790695,77.9,59,14.0,81.9,53,8.976470588235294,80.3
1.15,1.1,1.05,1.0,0.9,13.577303895659742,393.9,53,11.977272727272728,74.1,66,16.328125,80.0,60,16.604651162790695,79.0,59,14.0,81.3,53,8.976470588235294,79.4
1.15,1.1,1.0,1.05,1.0,13.577303895659742,394.5,53,11.977272727272728,73.3,66,16.328125,81.1,60,16.604651162790695,78.9,59,14.0,81.3,53,8.976470588235294,79.7
1.15,1.05,1.1,1.05,0.9,13.577303895659742,393.1,53,11.977272727272728,73.7,67,17.328125,79.4,60,16.604651162790695,78.2,58,13.0,81.3,53,8.976470588235294,80.6
1.2,1.0,1.0,1.0,0.9,13.577303895659742,400.1,51,9.977272727272728,74.1,66,16.328125,82.0,60,16.604651162790695,79.9,61,16.0,83.8,53,8.976470588235294,80.3
1.2,1.1,1.0,1.05,0.9,13.577303895659742,394.1,53,11.977272727272727,73.8,66,16.328125,80.3,60,16.604651162790695,77.4,59,14.0,82.1,53,8.976470588235294,80.6
1.2,1.1,1.0,1.0,1.0,13.577303895659742,392.8,53,11.977272727272727,73.6,66,16.328125,80.0,60,16.604651162790695,77.6,59,14.0,81.3,53,8.976470588235294,80.2
1.2,1.1,1.05,1.05,0.95,13.577303895659742,392.9,51,9.977272727272727,73.3,66,16.328125,80.7,60,16.604651162790695,77.7,61,16.0,81.6,53,8.976470588235294,79.7
1.2,1.1,1.05,1.0,1.0,13.577303895659742,392.9,53,11.977272727272727,73.5,66,16.328125,80.5,60,16.604651162790695,77.5,59,14.0,81.3,53,8.976470588235294,80.2
1.2,1.1,1.05,1.05,0.9,13.577303895659742,393.0,53,11.977272727272727,73.4,66,16.328125,80.7,60,16.604651162790695,77.7,59,14.0,81.9,53,8.976470588235294,79.3
1.2,1.05,1.1,1.0,0.9,13.377303895659741,395.8,51,9.977272727272727,75.2,67,17.328125,80.4,60,16.604651162790695,78.2,59,14.0,82.3,53,8.976470588235294,79.7
1.2,1.1,1.05,1.05,1.0,13.377303895659741,393.7,53,11.977272727272727,73.7,66,16.328125,80.8,60,16.604651162790695,77.9,58,13.0,81.3,53,8.976470588235294,80.0
1.2,1.0,1.0,1.05,1.0,13.37730389565974,390.7,51,9.977272727272728,72.8,66,16.328125,79.4,60,16.604651162790695,76.9,60,15.0,82.8,53,8.976470588235294,78.8
1.1,1.0,1.05,1.05,1.0,13.37730389565974,393.6,53,11.977272727272728,73.5,66,16.328125,80.3,60,16.604651162790695,78.3,58,13.0,82.0,53,8.976470588235294,79.5
1.1,1.1,1.05,0.95,0.9,13.37730389565974,394.0,53,11.977272727272728,74.6,66,16.328125,79.9,60,16.604651162790695,78.1,58,13.0,81.6,53,8.976470588235294,79.7
1.1,1.1,1.05,1.05,0.9,13.37730389565974,393.5,53,11.977272727272728,73.1,66,16.328125,81.3,60,16.604651162790695,77.7,58,13.0,81.7,53,8.976470588235294,79.7
1.1,1.1,1.05,1.0,0.95,13.37730389565974,393.1,53,11.977272727272728,72.7,66,16.328125,80.0,60,16.604651162790695,78.4,58,13.0,81.6,53,8.976470588235294,80.5
1.15,1.0,1.0,1.05,0.9,13.37730389565974,395.2,53,11.977272727272728,73.9,66,16.328125,81.0,60,16.604651162790695,78.2,58,13.0,82.3,53,8.976470588235294,79.8
1.15,1.0,1.05,1.0,0.95,13.37730389565974,392.6,51,9.977272727272728,75.3,67,17.328125,80.3,60,16.604651162790695,77.0,59,14.0,81.1,53,8.976470588235294,78.9
1.2,1.05,1.0,1.0,1.0,13.37730389565974,411.8,51,9.977272727272728,73.5,66,16.328125,82.2,60,16.604651162790695,79.4,60,15.0,91.4,53,8.976470588235294,85.3
1.2,1.05,1.0,1.05,0.95,13.37730389565974,411.6,51,9.977272727272728,73.3,66,16.328125,82.5,60,16.604651162790695,79.0,60,15.0,91.5,53,8.976470588235294,85.3
1.1,1.1,1.1,1.05,0.95,13.37730389565974,395.0,53,11.977272727272728,73.4,66,16.328125,80.4,60,16.604651162790695,80.0,58,13.0,81.5,53,8.976470588235294,79.7
1.15,1.1,1.05,1.05,1.0,13.37730389565974,396.3,53,11.977272727272728,73.6,66,16.328125,80.6,60,16.604651162790695,78.7,58,13.0,82.5,53,8.976470588235294,80.9
1.1,1.1,1.1,1.05,0.9,13.37730389565974,394.6,53,11.977272727272728,72.6,66,16.328125,81.4,60,16.604651162790695,79.2,58,13.0,81.6,53,8.976470588235294,79.7
1.1,1.1,1.05,1.05,0.95,13.37730389565974,390.9,53,11.977272727272728,73.3,66,16.328125,80.2,60,16.604651162790695,78.0,58,13.0,81.5,53,8.976470588235294,78.1
1.15,1.1,1.1,1.05,0.9,13.37730389565974,397.9,53,11.977272727272728,74.5,66,16.328125,80.2,60,16.604651162790695,79.8,58,13.0,83.5,53,8.976470588235294,79.9
1.15,1.1,1.1,1.05,0.95,13.37730389565974,391.9,53,11.977272727272728,73.2,66,16.328125,80.0,60,16.604651162790695,78.2,58,13.0,81.4,53,8.976470588235294,79.2
1.2,1.0,1.0,1.05,0.9,13.37730389565974,396.4,51,9.977272727272728,73.4,66,16.328125,81.8,60,16.604651162790695,78.2,60,15.0,82.5,53,8.976470588235294,80.4
1.2,1.0,1.05,1.05,1.0,13.37730389565974,397.3,51,9.977272727272728,74.4,66,16.328125,80.7,60,16.604651162790695,78.6,60,15.0,83.1,53,8.976470588235294,80.5
1.1,1.05,1.1,1.05,0.95,13.37730389565974,392.8,53,11.977272727272728,73.7,66,16.328125,80.8,60,16.604651162790695,77.5,58,13.0,80.5,53,8.976470588235294,80.2
1.1,1.1,1.0,1.05,0.9,13.37730389565974,389.9,53,11.977272727272728,72.2,66,16.328125,80.1,60,16.604651162790695,77.3,58,13.0,81.5,53,8.976470588235294,78.7
1.1,1.05,1.1,1.05,1.0,13.37730389565974,392.2,53,11.977272727272728,73.7,66,16.328125,79.5,60,16.604651162790695,77.4,58,13.0,81.6,53,8.976470588235294,80.0
1.1,1.1,1.0,1.0,0.9,13.37730389565974,393.4,53,11.977272727272728,73.2,66,16.328125,81.4,60,16.604651162790695,77.9,58,13.0,81.5,53,8.976470588235294,79.4
1.1,1.1,1.0,0.95,0.9,13.37730389565974,391.2,53,11.977272727272728,73.1,66,16.328125,79.6,60,16.604651162790695,78.0,58,13.0,81.4,53,8.976470588235294,79.2
1.1,1.0,1.0,1.0,0.9,13.37730389565974,392.9,53,11.977272727272728,73.4,66,16.328125,79.9,60,16.604651162790695,78.2,58,13.0,82.2,53,8.976470588235294,79.2
1.1,1.05,1.05,1.05,1.0,13.37730389565974,392.8,53,11.977272727272728,72.9,66,16.328125,80.7,60,16.604651162790695,78.0,58,13.0,82.0,53,8.976470588235294,79.3
1.1,1.05,1.05,1.05,0.9,13.37730389565974,392.2,53,11.977272727272728,72.7,66,16.328125,80.6,60,16.604651162790695,78.3,58,13.0,81.4,53,8.976470588235294,79.2
1.15,1.05,1.05,1.05,0.95,13.37730389565974,391.8,53,11.977272727272728,73.7,66,16.328125,80.5,60,16.604651162790695,77.7,58,13.0,80.5,53,8.976470588235294,79.4
1.15,1.05,1.05,1.05,1.0,13.37730389565974,393.7,53,11.977272727272728,73.7,66,16.328125,80.0,60,16.604651162790695,78.5,58,13.0,82.0,53,8.976470588235294,79.5
1.15,1.05,1.1,1.05,0.95,13.37730389565974,393.4,53,11.977272727272728,73.0,66,16.328125,80.5,60,16.604651162790695,77.8,58,13.0,81.5,53,8.976470588235294,80.5
1.15,1.0,1.0,1.05,0.95,13.177303895659742,392.8,51,9.977272727272728,73.8,66,16.328125,80.1,60,16.604651162790695,77.7,59,14.0,81.6,53,8.976470588235294,79.7
1.1,1.0,1.1,1.05,1.0,13.177303895659742,393.4,51,9.977272727272728,73.7,67,17.328125,80.7,60,16.604651162790695,76.9,58,13.0,81.6,53,8.976470588235294,80.5
1.2,1.05,1.0,1.05,1.0,13.177303895659742,412.5,51,9.977272727272728,74.0,66,16.328125,82.8,60,16.604651162790695,79.2,59,14.0,91.4,53,8.976470588235294,85.1
1.2,1.1,1.0,1.05,1.0,13.177303895659742,392.7,51,9.977272727272727,73.1,66,16.328125,80.2,60,16.604651162790695,77.9,59,14.0,81.7,53,8.976470588235294,79.8
1.1,1.1,1.0,1.05,0.95,12.97730389565974,393.6,51,9.977272727272728,73.7,66,16.328125,80.3,60,16.604651162790695,78.0,58,13.0,81.5,53,8.976470588235294,80.0
